solution id, value
necessaryExistNo, PAIGERAILSTONE
easilyOffendedNo, BOBURNHAM
mellowOrRockMellow, SONGSFROMPAUL
pianoOrGuitarPiano, MIKELOMBARDOMUSIC
pianoOrGuitarGuitar, DOCTORNOISE
cyrusOrRandomCyrus, DAVEDAYS
cyrusOrRandomRandom, RHETTANDLINK
nerdyOrNormalSongsNormal, JAAAAAAA
nerdyOrNormalSongsNerdy, SWEETAFTON23
likeElectronicaYes, ALLCAPSMUSIC
likeElectronicaNo, POMPLAMOOSEMUSIC
lostShowYes, THEOCEANICSIXMUSIC
wizardRockWeird, FELTBEATS
livePerformancesYes, KARENSWROCKVIDEOS
tooCheapYes, MINISTRYOFMAGICMUSIC
whompingWillowYes, THEWHOMPINGWILLOWS
whompingWillowNo, BUTTERBEERWROCKS
newOrOldVideosOld, FIVEAWESOMEGUYS
relationshipsHappy, VLOGLOVERS
doctorWhoYes, TARDISTACULAR
howManyWatchFive, FIVEAWESOMEGIRLS
shortOrTallShort, SHORTSISTERS756
tallGirlsOrBoysGirls, SISTERSALAD
tallGirlsOrBoysBoys, VLOGBROTHERS
canadaIsCoolYes, GUNAROLLA
whichIsFunnierChicken, ROBOFILLET
whichIsFunnierDeprecating, COMMUNITYCHANNEL
davidTennantAttractiveYes, LITTLERADGE
hateTwilightYes, NERIMON
hateTwilightNo, CHARLIEISSOCOOLLIKE
hateTwilightOther, GET OUT OF MY FLOWCHART
scriptedOrSpontaneousSpontaneous, MISSXROJAS
scriptedOrSpontaneousScripted, ELECTRICFAERIEDUST